,Date (LST),Year,Month,Day,Hour,Value,QC Name
170,1/8/2016 2:00,2016,1,8,2,14,Valid
171,1/8/2016 3:00,2016,1,8,3,9,Valid
172,1/8/2016 4:00,2016,1,8,4,7,Valid
173,1/8/2016 5:00,2016,1,8,5,6,Valid
174,1/8/2016 6:00,2016,1,8,6,9,Valid
175,1/8/2016 7:00,2016,1,8,7,16,Valid
176,1/8/2016 8:00,2016,1,8,8,16,Valid
177,1/8/2016 9:00,2016,1,8,9,21,Valid
178,1/8/2016 10:00,2016,1,8,10,19,Valid
179,1/8/2016 11:00,2016,1,8,11,15,Valid
180,1/8/2016 12:00,2016,1,8,12,22,Valid
181,1/8/2016 13:00,2016,1,8,13,17,Valid
182,1/8/2016 14:00,2016,1,8,14,13,Valid
183,1/8/2016 15:00,2016,1,8,15,10,Valid
184,1/8/2016 16:00,2016,1,8,16,9,Valid
185,1/8/2016 17:00,2016,1,8,17,18,Valid
186,1/8/2016 18:00,2016,1,8,18,61,Valid
187,1/8/2016 19:00,2016,1,8,19,99,Valid
188,1/8/2016 20:00,2016,1,8,20,124,Valid
189,1/8/2016 21:00,2016,1,8,21,135,Valid
190,1/8/2016 22:00,2016,1,8,22,137,Valid
191,1/8/2016 23:00,2016,1,8,23,138,Valid
192,1/9/2016 0:00,2016,1,9,0,136,Valid
193,1/9/2016 1:00,2016,1,9,1,124,Valid
194,1/9/2016 2:00,2016,1,9,2,85,Valid
195,1/9/2016 3:00,2016,1,9,3,82,Valid
196,1/9/2016 4:00,2016,1,9,4,74,Valid
197,1/9/2016 5:00,2016,1,9,5,48,Valid
198,1/9/2016 6:00,2016,1,9,6,33,Valid
199,1/9/2016 7:00,2016,1,9,7,28,Valid
200,1/9/2016 8:00,2016,1,9,8,28,Valid
201,1/9/2016 9:00,2016,1,9,9,25,Valid
202,1/9/2016 10:00,2016,1,9,10,29,Valid
203,1/9/2016 11:00,2016,1,9,11,31,Valid
204,1/9/2016 12:00,2016,1,9,12,37,Valid
205,1/9/2016 13:00,2016,1,9,13,44,Valid
206,1/9/2016 14:00,2016,1,9,14,44,Valid
207,1/9/2016 15:00,2016,1,9,15,32,Valid
208,1/9/2016 16:00,2016,1,9,16,48,Valid
209,1/9/2016 17:00,2016,1,9,17,57,Valid
210,1/9/2016 18:00,2016,1,9,18,87,Valid
